OrderId,ItemName,Price,Quantity,,,,,,
01fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Spoon - Soup& Plastic,821.14,7,,,,,,
02fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Milk Powder,958.29,6,,,,,,
03fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Milk - Buttermilk,303.32,3,,,,,,
04fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Pork - Loin& Center Cut,594.23,7,,,,,,
05fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Soup - Knorr& Ministrone,831.25,15,,,,,,
06fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Wasabi Paste,562.3,1,,,,,,
07fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Vinegar - Balsamic,879.09,9,,,,,,
08fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Lamb - Shoulder& Boneless,482.29,2,,,,,,
09fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Peas - Pigeon& Dry,730.58,3,,,,,,
0afa1215-41f5-ed11-9f05-f46b8c8f0ef6,Island Oasis - Peach Daiquiri,304.13,11,,,,,,
0bfa1215-41f5-ed11-9f05-f46b8c8f0ef6,Fudge - Cream Fudge,198.68,2,,,,,,
0cfa1215-41f5-ed11-9f05-f46b8c8f0ef6,Beef - Baby& Liver,845.89,15,,,,,,
0dfa1215-41f5-ed11-9f05-f46b8c8f0ef6,Mountain Dew,613.72,8,,,,,,
0efa1215-41f5-ed11-9f05-f46b8c8f0ef6,Tortillas - Flour& 12,740.47,9,,,,,,
0ffa1215-41f5-ed11-9f05-f46b8c8f0ef6,Napkin White - Starched,795.3,7,,,,,,
10fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Wine - Piper Heidsieck Brut,968.99,10,,,,,,
11fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Vinegar - White,303.07,4,,,,,,
12fa1215-41f5-ed11-9f05-f46b8c8f0ef6,Beets,701.75,11,,,,,,
